movie_id,rating,movie_title,total_ratings
1399,4.35849056603774,Star Wars (1977),583
334,3.80353634577603,Contact (1997),509
499,4.15551181102362,Fargo (1996),508
1235,4.00788954635109,Return of the Jedi (1983),507
861,3.15670103092783,Liar Liar (1997),485
461,3.65696465696466,"English Patient, The (1996)",481
1285,3.44142259414226,Scream (1996),478
1524,3.8783185840708,Toy Story (1995),452
33,3.63109048723898,Air Force One (1997),431
745,3.43822843822844,Independence Day (ID4) (1996),429
1206,4.25238095238095,Raiders of the Lost Ark (1981),420
613,4.28329297820823,"Godfather, The (1972)",413
1191,4.06091370558376,Pulp Fiction (1994),394
1544,3.7984693877551,Twelve Monkeys (1995),392
1330,4.28974358974359,"Silence of the Lambs, The (1991)",390
781,3.7109375,Jerry Maguire (1996),384
294,3.83905013192612,Chasing Amy (1997),379
1252,3.69312169312169,"Rock, The (1996)",378
457,4.20435967302452,"Empire Strikes Back, The (1980)",367
1395,3.66027397260274,Star Trek: First Contact (1996),365
1501,4.24571428571429,Titanic (1997),350
114,3.83428571428571,Back to the Future (1985),350
988,3.31395348837209,Mission: Impossible (1996),344
571,4.04464285714286,"Fugitive, The (1993)",336
748,3.93051359516616,Indiana Jones and the Last Crusade (1989),331
1634,3.6319018404908,Willy Wonka and the Chocolate Factory (1971),326
1179,4.17283950617284,"Princess Bride, The (1987)",324
552,3.85358255451713,Forrest Gump (1994),321
1275,3.12341772151899,"Saint, The (1997)",316
997,4.06645569620253,Monty Python and the Holy Grail (1974),316
573,3.92698412698413,"Full Monty, The (1997)",315
965,3.74587458745875,Men in Black (1997),303
1462,3.93355481727575,"Terminator, The (1984)",301
447,3.83333333333333,E.T. the Extra-Terrestrial (1982),300
390,3.89632107023411,Dead Man Walking (1995),299
856,3.69798657718121,Leaving Las Vegas (1995),298
1282,4.46644295302013,Schindler's List (1993),298
226,4.15151515151515,Braveheart (1995),297
830,4.16161616161616,L.A. Confidential (1997),297
333,3.42372881355932,Conspiracy Theory (1997),295
1461,4.00677966101695,Terminator 2: Judgment Day (1991),295
179,3.44368600682594,"Birdcage, The (1996)",293
1548,3.21501706484642,Twister (1996),293
1006,3.77815699658703,Mr. Holland's Opus (1995),293
42,4.03436426116839,Alien (1979),291
1616,3.91034482758621,When Harry Met Sally... (1989),290
45,3.94718309859155,Aliens (1986),284
